"tile_id","epsg","utm_zone","ul_x","ul_y"
"32QQF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2100000
"32QQG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2200020
"32QQH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2300040
"32QQJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2400000
"32QQK",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2500020
"32QQL",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2600040
"32QQM",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2700000
"32QRD",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,1900020
"32QRE",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2000040
"32QRF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2100000
"32QRG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2200020
"32QRH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2300040
"32QRJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2400000
"32QRK",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2500020
"32QRL",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2600040
"32QRM",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2700000
"32RKN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,2800020
"32RKP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,2900040
"32RKQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3e+06
"32RKR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3100020
"32RKS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3200040
"32RKT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3300000
"32RKU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3400020
"32RKV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3500040
"32RLN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,2800020
"32RLP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,2900040
"32RLQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3e+06
"32RLR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3100020
"32RLS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3200040
"32RLT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3300000
"32RLU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3400020
"32RLV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3500040
"32RMN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,2800020
"32RMP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,2900040
"32RMQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3e+06
"32RMR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3100020
"32RMS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3200040
"32RMT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3300000
"32RMU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3400020
"32RMV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3500040
"32RNN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,2800020
"32RNP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,2900040
"32RNQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3e+06
"32RNR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3100020
"32RNS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3200040
"32RNT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3300000
"32RNU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3400020
"32RNV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3500040
"32RPN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,2800020
"32RPP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,2900040
"32RPQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3e+06
"32RPR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3100020
"32RPS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3200040
"32RPT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3300000
